year,course_type,course_name
2016,Full-Time,Higher Nitec in Electronics Engineering
2016,Full-Time,Higher Nitec in Engineering with Business
2016,Full-Time,Higher Nitec in Event Management
2016,Full-Time,Higher Nitec in Facility Management
2016,Full-Time,Higher Nitec in Facility Systems Design
2016,Full-Time,Higher Nitec in Filmmaking (Cinematography)
2016,Full-Time,Higher Nitec in Games Art & Design
2016,Full-Time,Higher Nitec in Games Programming & Development
2016,Full-Time,Higher Nitec in Hospitality Operations
2016,Full-Time,Higher Nitec in Human Resource & Administration
2016,Full-Time,Higher Nitec in Information Technology
2016,Full-Time,Higher Nitec in Interactive Design
2016,Full-Time,Higher Nitec in Leisure & Travel Operations
2016,Full-Time,Higher Nitec in Logistics for International Trade
2016,Full-Time,Higher Nitec in Marine & Offshore Technology
2016,Full-Time,Higher Nitec in Marine Engineering
2016,Full-Time,Higher Nitec in Mechanical Engineering
2016,Full-Time,Higher Nitec in Mechatronics Engineering
2016,Full-Time,Higher Nitec in Mobile Unified Communications
2016,Full-Time,Higher Nitec in Offshore & Marine Engineering Design
2016,Full-Time,Higher Nitec in Paramedic & Emergency Care
2016,Full-Time,Higher Nitec in Passenger Services
2016,Full-Time,Higher Nitec in Performance Production
2016,Full-Time,Higher Nitec in Precision Engineering
2016,Full-Time,Higher Nitec in Process Plant Design
2016,Full-Time,Higher Nitec in Rapid Transit Engineering
2016,Full-Time,Higher Nitec in Retail Merchandising
2016,Full-Time,Higher Nitec in Security System Integration
2016,Full-Time,Higher Nitec in Service Management
2016,Full-Time,Higher Nitec in Shipping Operations & Services
2016,Full-Time,Higher Nitec in Space Design Technology
2016,Full-Time,Higher Nitec in Sport Management
2016,Full-Time,Higher Nitec in Visual Merchandising
2016,Full-Time,Nitec in Aerospace Avionics
2016,Full-Time,Nitec in Aerospace Machining Technology
2016,Full-Time,Nitec in Aerospace Technology
2016,Full-Time,Nitec in Applied Food Science
2016,Full-Time,Nitec in Asian Culinary Arts
2016,Full-Time,Nitec in Automotive Technology (Heavy Vehicles)
2016,Full-Time,Nitec in Automotive Technology (Light Vehicles)
2016,Full-Time,Nitec in Beauty & Wellness
